,0,1,2,3,4,5,6,7,8,9,10,11,12,y_score_0.61,y_score_0.58,y_score_0.55,gbr,svr,rf,cnn,lstm
39,0,0,1,1,0,1,0,0,0,0,0,0,0,-0.0518372,0.0180898,-0.0423344,0.53773,0.521878,0.528314,0.555322,0.5738
40,1,0,1,1,0,1,0,0,0,0,0,0,0,-0.0582166,0.010485,-0.0544794,0.528233,0.512255,0.528314,0.549837,0.572331
41,0,1,1,1,0,1,0,0,0,0,0,0,0,-0.0353054,0.0236848,-0.0269483,0.595633,0.51843,0.585042,0.566041,0.583272
42,1,1,1,1,0,1,0,0,0,0,0,0,0,-0.0404928,0.0170998,-0.0402743,0.586136,0.515021,0.585042,0.566095,0.580062
43,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.0514788,0.0172304,-0.0521086,0.53773,0.512681,0.518572,0.58144,0.540746
44,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.0581944,0.00849039,-0.0640405,0.528233,0.502602,0.518572,0.563599,0.525861
45,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.0342573,0.0242563,-0.0351083,0.614822,0.522797,0.60977,0.608552,0.548186
46,1,1,0,0,1,1,0,0,0,0,0,0,0,-0.0395845,0.0167297,-0.048789,0.605325,0.514479,0.60977,0.594141,0.535931
47,0,0,1,0,1,1,0,0,0,0,0,0,0,-0.051527,0.0166135,-0.047551,0.53773,0.513134,0.518572,0.565056,0.56125
48,1,0,1,0,1,1,0,0,0,0,0,0,0,-0.0579064,0.00897557,-0.0596957,0.528233,0.508005,0.518572,0.547787,0.550315
